Title,Genre,Language,Imdb_Score,Premiere,Runtime,Year,Imdb_Category
Layla Majnun,Romantic drama,INDONESIAN,6.4,11/02/2021,119,2021,Good
After the Raid,Documentary,SPANISH,4.3,19/12/2019,25,2019,Awful
Dick Johnson Is Dead,Documentary,ENGLISH,7.5,02/10/2020,90,2020,Excellent
LA Originals,Documentary,ENGLISH,7.2,10/04/2020,92,2020,Excellent
Work It,Dance comedy,ENGLISH,6.1,07/08/2020,93,2020,Good
The Misadventures of Hedi and Cokeman,Comedy,FRENCH,4.5,10/02/2021,99,2021,Awful
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,ENGLISH,6.7,07/02/2017,54,2017,Good
The Ballad of Buster Scruggs,Western,ENGLISH,7.3,16/11/2018,132,2018,Excellent
Intuition,Thriller,SPANISH,5.3,28/05/2020,116,2020,Not Bad
The Ivory Game,Documentary,ENGLISH,7.9,04/11/2016,112,2016,Excellent
Dancing with the Birds,Documentary,ENGLISH,8.3,23/10/2019,51,2019,Excellent
Bad Trip,Hidden-camera prank comedy,ENGLISH,6.6,26/03/2021,86,2021,Good
Fire in Paradise,Documentary,ENGLISH,7.4,01/11/2019,39,2019,Excellent
A Fall from Grace,Thriller,ENGLISH,5.9,17/01/2020,120,2020,Not Bad
Ludo,Anthology/Dark comedy,HINDI,7.6,12/11/2020,149,2020,Excellent
Crazy Awesome Teachers,Comedy-drama,INDONESIAN,6.2,17/08/2020,101,2020,Good
Back to School,Comedy,FRENCH,5.3,30/08/2019,83,2019,Not Bad
Angela's Christmas Wish,Animation,ENGLISH,7.1,01/12/2020,47,2020,Excellent
Madame Claude,Drama,FRENCH,5.4,02/04/2021,112,2021,Not Bad
Soni,Crime drama,HINDI,7.2,18/01/2019,97,2019,Excellent
Saving Capitalism,Documentary,ENGLISH,6.8,21/11/2017,73,2017,Good
Road to Roma,Making-of,SPANISH,7.7,11/02/2020,72,2020,Excellent
The Perfect Date,Romantic comedy,ENGLISH,5.8,12/04/2019,89,2019,Not Bad
Upstarts,Drama,HINDI,6.7,18/10/2019,112,2019,Good
Nobody Sleeps in the Woods Tonight,Horror,POLISH,4.8,28/10/2020,103,2020,Awful
The Boys in the Band,Drama,ENGLISH,6.8,30/09/2020,121,2020,Good
The Princess Switch: Switched Again,Romantic comedy,ENGLISH,5.4,19/11/2020,97,2020,Not Bad
All the Bright Places,Romance,ENGLISH,6.5,28/02/2020,108,2020,Good
Fearless,Animation/Superhero,ENGLISH,4.9,14/08/2020,89,2020,Awful
Small Crimes,Dark comedy,ENGLISH,5.8,28/04/2017,95,2017,Not Bad
Sitara: Let Girls Dream,Animation / Short,ENGLISH,7.3,08/03/2020,15,2020,Excellent
Loudon Wainwright III: Surviving Twin,One-man show,ENGLISH,7.1,13/11/2018,91,2018,Excellent
Rebirth,Thriller,ENGLISH,5.0,15/07/2016,100,2016,Not Bad
Geez & Ann,Romantic drama,INDONESIAN,5.1,25/02/2021,105,2021,Not Bad
The Two Popes,Drama,ENGLISH,7.6,20/12/2019,125,2019,Excellent
Double Dad,Comedy-drama,PORTUGUESE,5.6,15/01/2021,103,2021,Not Bad
Como Caído del Cielo,Musical comedy,SPANISH,6.4,24/12/2019,112,2019,Good
Sandy Wexler,Comedy,ENGLISH,5.2,14/04/2017,131,2017,Not Bad
Operation Varsity Blues: The College Admissions Scandal,Documentary,ENGLISH,7.0,17/03/2021,99,2021,Excellent
Life Overtakes Me,Documentary,ENGLISH_SWEDISH,6.5,14/06/2019,40,2019,Good
The Discovery,Science fiction/Drama,ENGLISH,6.3,31/03/2017,102,2017,Good
Cops and Robbers,Animation / Short,ENGLISH,6.9,28/12/2020,7,2020,Good
My Octopus Teacher,Documentary,ENGLISH,8.1,07/09/2020,85,2020,Excellent
The Speed Cubers,Documentary,ENGLISH,7.4,29/07/2020,40,2020,Excellent
ReMastered: The Miami Showband Massacre,Documentary,ENGLISH,7.0,22/03/2019,70,2019,Excellent
The Devil All the Time,Psychological thriller,ENGLISH,7.1,16/09/2020,138,2020,Excellent
"Barbra: The Music, The Mem'ries, The Magic!",Concert Film,ENGLISH,7.5,22/11/2017,108,2017,Excellent
I Am the Pretty Thing That Lives in the House,Horror,ENGLISH,4.6,28/10/2016,89,2016,Awful
Seaspiracy,Documentary,ENGLISH,8.2,24/03/2021,89,2021,Excellent
Extraction,Action,ENGLISH,6.7,24/04/2020,117,2020,Good
The Highwaymen,Crime drama,ENGLISH,6.9,29/03/2019,131,2019,Good
Rooting for Roona,Documentary,BENGALI,7.1,15/10/2020,41,2020,Excellent
ReMastered: Massacre at the Stadium,Documentary,ENGLISH_SPANISH,7.3,11/01/2019,64,2019,Excellent
Spectral,Science fiction/Action,ENGLISH,6.3,09/12/2016,108,2016,Good
Juanita,Drama,ENGLISH,6.0,08/03/2019,90,2019,Good
"Crack: Cocaine, Corruption & Conspiracy",Documentary,ENGLISH,6.7,11/01/2021,89,2021,Good
The Land of Steady Habits,Drama,ENGLISH,6.2,14/09/2018,98,2018,Good
Searching for Sheela,Documentary,ENGLISH,4.1,22/04/2021,58,2021,Awful
Pagglait,Comedy-drama,HINDI,6.9,26/03/2021,114,2021,Good
Becoming,Documentary,ENGLISH,6.8,06/05/2020,89,2020,Good
Arlo the Alligator Boy,Animated musical comedy,ENGLISH,6.7,16/04/2021,92,2021,Good
Roxanne Roxanne,Biopic,ENGLISH,6.2,23/03/2018,98,2018,Good
Choked: Paisa Bolta Hai,Drama,HINDI,5.8,05/06/2020,114,2020,Not Bad
Just Say Yes,Romantic comedy,DUTCH,4.5,02/04/2021,97,2021,Awful
The Day of the Lord,Drama,SPANISH,4.9,30/10/2020,93,2020,Awful
Milestone,Drama,HINDI,6.6,07/05/2021,98,2021,Good
Sardar Ka Grandson,Comedy,HINDI,4.1,18/05/2021,139,2021,Awful
The After Party,Comedy,ENGLISH,5.8,24/08/2018,89,2018,Not Bad
Gaga: Five Foot Two,Documentary,ENGLISH,7.0,22/09/2017,100,2017,Excellent
Disclosure: Trans Lives on Screen,Documentary,ENGLISH,8.2,19/06/2020,107,2020,Excellent
A Love Song for Latasha,Documentary,ENGLISH,6.8,21/09/2020,19,2020,Good
Struggle: The Life and Lost Art of Szukaiski,Documentary,ENGLISH,8.0,21/12/2018,105,2018,Excellent
1922,Horror/Crime drama,ENGLISH,6.3,20/10/2017,102,2017,Good
22-Jul,Drama,ENGLISH,6.8,10/10/2018,144,2018,Good
Hot Girls Wanted,Documentary,ENGLISH,6.1,29/05/2015,84,2015,Good
Klaus,Animation/Christmas/Comedy/Adventure,ENGLISH,8.2,15/11/2019,97,2019,Excellent
The Boys in the Band: Something Personal,Aftershow / Interview,ENGLISH,6.8,30/09/2020,28,2020,Good
I Don't Feel at Home in This World Anymore,Drama,ENGLISH,6.9,24/02/2017,96,2017,Good
Earth and Blood,Action,FRENCH,4.9,17/04/2020,80,2020,Awful
Nobody Speak: Trials of the Free Press,Documentary,ENGLISH,6.5,23/06/2017,95,2017,Good
Òlòt?ré,Crime drama,ENGLISH,5.5,02/10/2020,106,2020,Not Bad
The Prom,Musical,ENGLISH,5.9,11/12/2020,132,2020,Not Bad
Fractured,Thriller,ENGLISH,6.4,11/10/2019,100,2019,Good
The Irishman: In Conversation,Aftershow / Interview,ENGLISH,7.4,27/11/2019,23,2019,Excellent
7 años,Drama,SPANISH,6.8,28/10/2016,76,2016,Good
Antoine Griezmann: The Making of a Legend,Documentary,FRENCH,6.5,21/03/2019,60,2019,Good
Fatal Affair,Thriller,ENGLISH,4.5,16/07/2020,89,2020,Awful
Music Teacher,Drama,HINDI,6.3,19/04/2019,101,2019,Good
Enter the Anime,Documentary,ENGLISH_JAPANESE,2.5,05/08/2019,58,2019,Awful
Ben Platt: Live from Radio City Music Hall,Concert Film,ENGLISH,8.4,20/05/2020,85,2020,Excellent
First Match,Sports-drama,ENGLISH,6.4,30/03/2018,102,2018,Good
Coffee & Kareem,Action comedy,ENGLISH,5.1,03/04/2020,88,2020,Not Bad
You've Got This,Romantic comedy,SPANISH,5.8,02/10/2020,111,2020,Not Bad
A Week Away,Christian musical,ENGLISH,5.7,26/03/2021,97,2021,Not Bad
The 40-Year-Old Version,Comedy,ENGLISH,7.2,09/10/2020,124,2020,Excellent
What Happened to Mr. Cha?,Comedy,KOREAN,4.3,01/01/2021,102,2021,Awful
Finding Agnes,Drama,FILIPINO,4.7,30/11/2020,105,2020,Awful
A Whisker Away,Anime/Fantasy,JAPANESE,6.7,18/06/2020,104,2020,Good
Ghost Lab,Horror,THAI,5.2,26/05/2021,117,2021,Not Bad
ReMastered: Devil at the Crossroads,Documentary,ENGLISH,7.0,26/04/2019,48,2019,Excellent
ReMastered: Tricky Dick & the Man in Black,Documentary,ENGLISH,7.1,02/11/2018,58,2018,Excellent
Handsome: A Netflix Mystery Movie,Comedy,ENGLISH,5.2,05/05/2017,81,2017,Not Bad
Rim of the World,Science fiction adventure,ENGLISH,5.2,24/05/2019,98,2019,Not Bad
Notes from Dunblane: Lesson from a School Shooting,Documentary,ENGLISH,5.9,28/09/2018,23,2018,Not Bad
Homecoming: A Film by Beyonce ,Documentary,ENGLISH,7.5,17/04/2019,137,2019,Excellent
Miss Americana,Documentary,ENGLISH,7.4,31/01/2020,85,2020,Excellent
Always Be My Maybe,Romantic comedy,ENGLISH,6.8,31/05/2019,102,2019,Good
Holiday in the Wild,Adventure-romance,ENGLISH,6.1,01/11/2019,85,2019,Good
Dude,Teen comedy-drama,ENGLISH,5.1,20/04/2018,97,2018,Not Bad
Zion ,Documentary,ENGLISH,7.2,10/08/2018,11,2018,Excellent
ReMastered: The Lion's Share,Documentary,ENGLISH,7.0,17/05/2019,84,2019,Excellent
The Social Dilemma,Documentary,ENGLISH,7.6,09/09/2020,94,2020,Excellent
Paris Is Us,Romance drama,FRENCH,4.6,22/02/2019,83,2019,Awful
Candy Jar,Comedy,ENGLISH,5.8,27/04/2018,92,2018,Not Bad
Blame!,Anime/Science fiction,JAPANESE,6.7,20/05/2017,106,2017,Good
American Factory: A Conversation with the Obamas ,Aftershow / Interview,ENGLISH,5.2,21/08/2019,10,2019,Not Bad
The Life Ahead,Drama,ITALIAN,6.8,13/11/2020,95,2020,Good
A Christmas Prince: The Royal Wedding,Romantic comedy,ENGLISH,5.3,30/11/2018,92,2018,Not Bad
Maska,Romantic comedy,HINDI,5.9,27/03/2020,111,2020,Not Bad
AK vs AK,Thriller,HINDI,6.9,24/12/2020,108,2020,Good
Eli,Horror,ENGLISH,5.7,18/10/2019,98,2019,Not Bad
A Christmas Prince,Romantic comedy,ENGLISH,5.8,17/11/2017,92,2017,Not Bad
"Frankenstein's Monster's Monster, Frankenstein",Mockumentary,ENGLISH,5.9,16/07/2019,32,2019,Not Bad
The Babysitter,Teen comedy horror,ENGLISH,6.3,13/10/2017,85,2017,Good
I'm Thinking of Ending Things,Psychological thriller,ENGLISH,6.6,04/09/2020,134,2020,Good
Death Note,Horror thriller,ENGLISH,4.4,25/08/2017,100,2017,Awful
El Camino: A Breaking Bad Movie,Crime drama,ENGLISH,7.3,11/10/2019,121,2019,Excellent
Los Tigres del Norte at Folsom Prison,Documentary,SPANISH,7.0,15/09/2019,64,2019,Excellent
They'll Love Me When I'm Dead,Documentary,ENGLISH,7.4,02/11/2018,98,2018,Excellent
The Christmas Chronicles: Part Two,Christmas comedy,ENGLISH,6.0,25/11/2020,115,2020,Good
Pele,Documentary,ENGLISH,7.0,23/02/2021,108,2021,Excellent
Mowgli: Legend of the Jungle,Adventure,ENGLISH,6.5,07/12/2018,104,2018,Good
Have You Ever Seen Fireflies?,Comedy,TURKISH,6.2,09/04/2021,114,2021,Good
Extinction,Science fiction/Thriller,ENGLISH,5.8,27/07/2018,95,2018,Not Bad
High Flying Bird,Sports-drama,ENGLISH,6.2,08/02/2019,90,2019,Good
Malcolm & Marie,Romantic drama,ENGLISH,6.7,05/02/2021,106,2021,Good
Chasing Coral ,Documentary,ENGLISH,8.1,14/07/2017,89,2017,Excellent
The Ridiculous 6,Western,ENGLISH,4.8,11/12/2015,119,2015,Awful
Stuck Apart,Drama,TURKISH,6.1,08/01/2021,96,2021,Good
John Was Trying to Contact Aliens,Documentary,ENGLISH,6.4,20/08/2020,16,2020,Good
Barry,Biopic,ENGLISH,5.8,16/12/2016,104,2016,Not Bad
Rising Phoenix,Documentary,ENGLISH,8.1,26/08/2020,106,2020,Excellent
Joan Didion: The Center Will Not Hold,Documentary,ENGLISH,7.5,27/10/2017,98,2017,Excellent
Feminists: What Were They Thinking?,Documentary,ENGLISH,7.0,12/10/2018,86,2018,Excellent
Okja,Action-adventure,ENGLISH_KOREAN,7.3,28/06/2017,121,2017,Excellent
Extremis,Documentary,ENGLISH,7.3,13/09/2016,24,2016,Excellent
Been So Long,Musical,ENGLISH,5.5,26/10/2018,100,2018,Not Bad
To All the Boys: Always and Forever,Romantic comedy,ENGLISH,6.3,12/02/2021,109,2021,Good
The Black Godfather,Documentary,ENGLISH,7.4,07/06/2019,118,2019,Excellent
The Minimalists: Less Is Now,Documentary,ENGLISH,5.9,01/01/2021,53,2021,Not Bad
Ajeeb Daastaans,Drama,HINDI,6.7,16/04/2021,142,2021,Good
Da 5 Bloods,War drama,ENGLISH,6.5,12/06/2020,155,2020,Good
The Week Of,Comedy,ENGLISH,5.2,27/04/2018,116,2018,Not Bad
The Last Paradiso,Romantic drama,ITALIAN,5.6,05/02/2021,107,2021,Not Bad
I'll Sleep When I'm Dead,Documentary,ENGLISH,6.6,19/08/2016,79,2016,Good
Ma Rainey's Black Bottom: A Legacy Brought to Screen,Aftershow / Interview,ENGLISH,7.0,18/12/2020,31,2020,Excellent
Amateur,Sports-drama,ENGLISH,5.9,06/04/2018,96,2018,Not Bad
Take the 10,Comedy,ENGLISH,4.8,20/01/2017,80,2017,Awful
First They Killed My Father,Drama,KHMER_ENGLISH_FRENCH,7.2,15/09/2017,136,2017,Excellent
Have a Good Trip: Adventures in Psychedelics,Documentary,ENGLISH,6.8,11/05/2020,85,2020,Good
Rebecca,Romantic thriller,ENGLISH,6.0,21/10/2020,123,2020,Good
6 Underground,Action,ENGLISH,6.1,13/12/2019,128,2019,Good
Tell Me Who I Am,Documentary,ENGLISH,7.6,18/10/2019,85,2019,Excellent
Project Power,Superhero,ENGLISH,6.0,14/08/2020,113,2020,Good
The Dig,Drama,ENGLISH,7.1,29/01/2021,112,2021,Excellent
A Very Murray Christmas,Comedy / Musical,ENGLISH,5.5,04/12/2015,56,2015,Not Bad
My Beautiful Broken Brain,Documentary,ENGLISH,7.1,18/03/2016,91,2016,Excellent
The Kissing Booth 2,Romantic comedy,ENGLISH,5.8,24/07/2020,131,2020,Not Bad
Bright,Urban fantasy,ENGLISH,6.3,22/12/2017,117,2017,Good
Come Sunday,Biopic,ENGLISH,6.0,13/04/2018,106,2018,Good
Beasts of No Nation,War drama,ENGLISH_AKAN,7.7,16/10/2015,136,2015,Excellent
All Day and a Night,Drama,ENGLISH,5.8,01/05/2020,121,2020,Not Bad
Altered Carbon: Resleeved,Anime/Science fiction,JAPANESE,6.5,19/03/2020,74,2020,Good
War Machine,War-Comedy,ENGLISH,6.0,26/05/2017,122,2017,Good
Point Blank,Action,ENGLISH,5.7,12/07/2019,86,2019,Not Bad
Rodney King,One-man show,ENGLISH,5.8,28/04/2017,52,2017,Not Bad
Evelyn,Documentary,ENGLISH,7.1,10/09/2019,96,2019,Excellent
A 3 Minute Hug,Documentary,ENGLISH_SPANISH,6.5,28/10/2019,28,2019,Good
Prime Time,Thriller,POLISH,5.7,14/04/2021,91,2021,Not Bad
Citation,Drama,ENGLISH,6.2,06/11/2020,151,2020,Good
"Strip Down, Rise Up",Documentary,ENGLISH,5.2,05/02/2021,112,2021,Not Bad
The Sleepover,Comedy,ENGLISH,5.6,21/08/2020,103,2020,Not Bad
Knock Down the House,Documentary,ENGLISH,7.1,01/05/2019,87,2019,Excellent
Mercury 13,Documentary,ENGLISH,6.8,20/04/2018,79,2018,Good
Travis Scott: Look Mom I Can Fly,Documentary,ENGLISH,6.3,28/08/2019,85,2019,Good
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,ENGLISH,6.4,27/09/2019,41,2019,Good
A Christmas Prince: The Royal Baby,Romantic comedy,ENGLISH,5.4,05/12/2019,85,2019,Not Bad
Bomb Scared,Black comedy,SPANISH_BASQUE,5.6,12/10/2017,89,2017,Not Bad
The Edge of Democracy,Documentary,PORTUGUESE,7.2,19/06/2019,121,2019,Excellent
Father of the Year,Comedy,ENGLISH,5.2,20/07/2018,94,2018,Not Bad
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",Documentary,ENGLISH,7.7,17/11/2017,94,2017,Excellent
Voyuer ,Documentary,ENGLISH,6.2,01/12/2017,95,2017,Good
A Futile and Stupid Gesture,Biographical/Comedy,ENGLISH,6.8,26/01/2018,101,2018,Good
What We Wanted,Drama,GERMAN,5.8,11/11/2020,93,2020,Not Bad
Taylor Swift: Reputation Stadium Tour,Concert Film,ENGLISH,8.4,31/12/2018,125,2018,Excellent
Time to Hunt,Thriller,KOREAN,6.3,23/04/2020,134,2020,Good
The Outsider,Crime drama,ENGLISH_JAPANESE,6.3,09/03/2018,120,2018,Good
Quincy,Documentary,ENGLISH,7.6,21/09/2018,124,2018,Excellent
The Three Deaths of Marisela Escobedo,Documentary,SPANISH,8.2,14/10/2020,109,2020,Excellent
TAU,Science fiction/Thriller,ENGLISH,5.8,29/06/2018,97,2018,Not Bad
Giving Voice,Documentary,ENGLISH,6.7,11/12/2020,90,2020,Good
One Take,Documentary,THAI,5.7,18/06/2020,85,2020,Not Bad
Army of the Dead,Zombie/Heist,ENGLISH,5.9,21/05/2021,148,2021,Not Bad
"What Happened, Miss Simone?",Documentary,ENGLISH,7.6,26/06/2015,84,2015,Excellent
The Last Laugh,Comedy-drama,ENGLISH,5.6,11/01/2019,98,2019,Not Bad
The Decline,Thriller,FRENCH,5.9,27/03/2020,83,2020,Not Bad
Horse Girl,Drama,ENGLISH,5.9,07/02/2020,104,2020,Not Bad
Invader Zim: Enter the Florpus,Animation / Science Fiction,ENGLISH,7.5,16/08/2019,71,2019,Excellent
Mercy,Thriller,ENGLISH,4.2,22/11/2016,90,2016,Awful
Cargo,Drama/Horror,ENGLISH,6.3,18/05/2018,104,2018,Good
Airplane Mode,Comedy,PORTUGUESE,5.0,23/01/2020,96,2020,Not Bad
Period. End of Sentence.,Documentary,ENGLISH_HINDI,7.4,12/02/2019,26,2019,Excellent
The Wrong Missy,Comedy,ENGLISH,5.7,13/05/2020,90,2020,Not Bad
The Disciple,Drama,MARATHI,7.2,30/04/2021,129,2021,Excellent
The Girl on the Train,Thriller,HINDI,4.4,26/02/2021,120,2021,Awful
Mute,Science fiction/Mystery,ENGLISH,5.5,23/02/2018,126,2018,Not Bad
The Rachel Divide,Documentary,ENGLISH,6.2,27/04/2018,104,2018,Good
Tramps,Romance,ENGLISH,6.5,21/04/2017,83,2017,Good
The Larva Island Movie,Animation,ENGLISH,5.1,23/07/2020,90,2020,Not Bad
Sol Levante,Anime / Short,ENGLISH,4.7,02/04/2020,4,2020,Awful
Vampires vs. the Bronx,Horror comedy,ENGLISH,5.6,02/10/2020,86,2020,Not Bad
Someone Great,Romantic comedy,ENGLISH,6.2,19/04/2019,92,2019,Good
Joshua: Teenager vs. Superpower,Documentary,ENGLISH,7.1,26/05/2017,78,2017,Excellent
Dark Forces,Thriller,SPANISH,2.6,21/08/2020,81,2020,Awful
Baggio: The Divine Ponytail,Biopic,ITALIAN,6.2,26/05/2021,92,2021,Good
A Babysitter's Guide to Monster Hunting,Comedy/Fantasy/Family,ENGLISH,5.4,15/10/2020,98,2020,Not Bad
The Red Sea Diving Resort,Spy thriller,ENGLISH,6.6,31/07/2019,130,2019,Good
Between Two Ferns: The Movie,Comedy,ENGLISH,6.1,20/09/2019,82,2019,Good
Deidra & Laney Rob a Train,Drama,ENGLISH,6.1,17/03/2017,94,2017,Good
Tersanjung the Movie,Drama,INDONESIAN,6.1,01/04/2021,114,2021,Good
Sergio,Biopic,ENGLISH,6.1,17/04/2020,118,2020,Good
American Son,Drama,ENGLISH,5.8,01/11/2019,90,2019,Not Bad
6 Balloons,Drama,ENGLISH,5.9,06/04/2018,75,2018,Not Bad
Justin Timberlake + The Tennessee Kids,Concert Film,ENGLISH,7.7,12/10/2016,90,2016,Excellent
Finding 'Ohana,Family,ENGLISH,6.1,29/01/2021,123,2021,Good
Street Flow,Drama,FRENCH,6.4,12/10/2019,96,2019,Good
Lovefucked,Drama,HINDI,6.0,09/08/2019,106,2019,Good
Jingle Jangle: A Christmas Journey,Family/Christmas musical,ENGLISH,6.5,13/11/2020,119,2020,Good
Love Like the Falling Rain,Drama,INDONESIAN,5.0,15/10/2020,86,2020,Not Bad
Ibiza,Comedy,ENGLISH,5.2,25/05/2018,94,2018,Not Bad
The Binding,Drama,ITALIAN,4.7,02/10/2020,93,2020,Awful
Sarah Cooper: Everything's Fine,Variety show,ENGLISH,5.6,27/10/2020,49,2020,Not Bad
Rose Island,Comedy,ITALIAN,7.0,09/12/2020,117,2020,Excellent
Earthquake Bird,Mystery,ENGLISH,5.9,15/11/2019,107,2019,Not Bad
GIMS: On the Record,Documentary,FRENCH,6.8,17/09/2020,96,2020,Good
Falling Inn Love,Romantic comedy,ENGLISH,5.6,29/08/2019,97,2019,Not Bad
Cam,Psychological horror,ENGLISH,5.9,16/11/2018,94,2018,Not Bad
Yes Day,Comedy,ENGLISH,5.7,12/03/2021,86,2021,Not Bad
American Murder: The Family Next Door,Documentary,ENGLISH,7.2,30/09/2020,82,2020,Excellent
Good Sam,Drama,ENGLISH,5.7,16/05/2019,89,2019,Not Bad
I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,ENGLISH,7.0,03/11/2020,14,2020,Excellent
Thunder Force,Superhero-Comedy,ENGLISH,4.4,09/04/2021,105,2021,Awful
The King,Historical drama,ENGLISH,7.2,01/11/2019,140,2019,Excellent
The Christmas Chronicles,Christmas/Fantasy/Adventure/Comedy,ENGLISH,7.0,22/11/2018,104,2018,Excellent
Long Shot,Documentary,ENGLISH,7.4,29/09/2017,40,2017,Excellent
The Road to El Camino: A Breaking Bad Movie,Making-of,ENGLISH,7.2,29/10/2019,13,2019,Excellent
Paddleton,Drama-Comedy,ENGLISH,7.2,22/02/2019,89,2019,Excellent
Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere,Documentary,ENGLISH,7.6,12/06/2019,144,2019,Excellent
Freaks: You're One of Us,Supernatural drama,GERMAN,5.4,02/09/2020,92,2020,Not Bad
Squared Love,Romantic comedy,POLISH,5.0,11/02/2021,102,2021,Not Bad
My Own Man,Documentary,ENGLISH,6.4,13/12/2014,81,2014,Good
Biggie: I Got a Story to Tell,Documentary,ENGLISH,6.9,01/03/2021,97,2021,Good
